Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Mon Apr 10 2023,17:00,CEST/+0200,Aalesunds FK,0-1,0-0,Vålerenga IF,2023-04-10T15:00Z
1,Mon Apr 10 2023,17:00,CEST/+0200,Hamarkameratene,2-0,2-0,Sandefjord Fotball,2023-04-10T15:00Z
1,Mon Apr 10 2023,17:00,CEST/+0200,Sarpsborg 08,0-2,0-2,FK Bodø/Glimt,2023-04-10T15:00Z
1,Mon Apr 10 2023,17:00,CEST/+0200,Stabæk IF,0-0,0-0,Odds BK,2023-04-10T15:00Z
1,Mon Apr 10 2023,17:00,CEST/+0200,Tromsø IL,1-0,0-0,Molde FK,2023-04-10T15:00Z
1,Mon Apr 10 2023,19:15,CEST/+0200,SK Brann,3-0,2-0,FK Haugesund,2023-04-10T17:15Z
1,Mon Apr 10 2023,14:30,CEST/+0200,Rosenborg BK,1-0,0-0,Viking FK,2023-04-10T12:30Z
2,Sat Apr 15 2023,18:00,CEST/+0200,Viking FK,2-0,0-0,Lillestrøm SK,2023-04-15T16:00Z
2,Sun Apr 16 2023,17:00,CEST/+0200,FK Bodø/Glimt,4-0,3-0,Stabæk IF,2023-04-16T15:00Z
2,Sun Apr 16 2023,17:00,CEST/+0200,FK Haugesund,3-2,1-0,Hamarkameratene,2023-04-16T15:00Z
2,Sun Apr 16 2023,17:00,CEST/+0200,Molde FK,1-1,1-1,Rosenborg BK,2023-04-16T15:00Z
2,Sun Apr 16 2023,17:00,CEST/+0200,Odds BK,2-0,1-0,SK Brann,2023-04-16T15:00Z
2,Sun Apr 16 2023,17:00,CEST/+0200,Sandefjord Fotball,0-0,0-0,Tromsø IL,2023-04-16T15:00Z
