Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
6,Sun Sep 26 2021,15:00,CEST/+0200,Sassuolo Calcio,1-0,0-0,US Salernitana 1919,2021-09-26T13:00Z
6,Sun Sep 26 2021,15:00,CEST/+0200,Udinese Calcio,0-1,0-1,ACF Fiorentina,2021-09-26T13:00Z
6,Sun Sep 26 2021,18:00,CEST/+0200,Lazio Roma,3-2,2-1,AS Roma,2021-09-26T16:00Z
6,Sun Sep 26 2021,20:45,CEST/+0200,SSC Napoli,2-0,1-0,Cagliari Calcio,2021-09-26T18:45Z
6,Mon Sep 27 2021,20:45,CEST/+0200,Venezia FC,1-1,0-0,Torino FC,2021-09-27T18:45Z
7,Fri Oct 1 2021,20:45,CEST/+0200,Cagliari Calcio,1-1,1-0,Venezia FC,2021-10-01T18:45Z
7,Sat Oct 2 2021,18:00,CEST/+0200,Torino FC,0-1,0-0,Juventus,2021-10-02T16:00Z
7,Sat Oct 2 2021,20:45,CEST/+0200,Sassuolo Calcio,1-2,1-0,Inter,2021-10-02T18:45Z
7,Sat Oct 2 2021,15:00,CEST/+0200,US Salernitana 1919,1-0,0-0,Genoa CFC,2021-10-02T13:00Z
7,Sun Oct 3 2021,12:30,CEST/+0200,Bologna FC,3-0,2-0,Lazio Roma,2021-10-03T10:30Z
7,Sun Oct 3 2021,15:00,CEST/+0200,Hellas Verona,4-0,3-0,Spezia Calcio,2021-10-03T13:00Z
7,Sun Oct 3 2021,15:00,CEST/+0200,Sampdoria,3-3,1-2,Udinese Calcio,2021-10-03T13:00Z
7,Sun Oct 3 2021,18:00,CEST/+0200,ACF Fiorentina,1-2,1-1,SSC Napoli,2021-10-03T16:00Z
7,Sun Oct 3 2021,18:00,CEST/+0200,AS Roma,2-0,1-0,Empoli FC,2021-10-03T16:00Z
7,Sun Oct 3 2021,20:45,CEST/+0200,Atalanta,2-3,0-2,AC Milan,2021-10-03T18:45Z
8,Sat Oct 16 2021,15:00,CEST/+0200,Spezia Calcio,2-1,0-1,US Salernitana 1919,2021-10-16T13:00Z
8,Sat Oct 16 2021,18:00,CEST/+0200,Lazio Roma,3-1,0-1,Inter,2021-10-16T16:00Z
8,Sat Oct 16 2021,20:45,CEST/+0200,AC Milan,3-2,0-2,Hellas Verona,2021-10-16T18:45Z
8,Sun Oct 17 2021,12:30,CEST/+0200,Cagliari Calcio,3-1,1-0,Sampdoria,2021-10-17T10:30Z
8,Sun Oct 17 2021,15:00,CEST/+0200,Genoa CFC,2-2,1-2,Sassuolo Calcio,2021-10-17T13:00Z
8,Sun Oct 17 2021,15:00,CEST/+0200,Empoli FC,1-4,1-2,Atalanta,2021-10-17T13:00Z
8,Sun Oct 17 2021,15:00,CEST/+0200,Udinese Calcio,1-1,0-0,Bologna FC,2021-10-17T13:00Z
8,Sun Oct 17 2021,18:00,CEST/+0200,SSC Napoli,1-0,0-0,Torino FC,2021-10-17T16:00Z
8,Sun Oct 17 2021,20:45,CEST/+0200,Juventus,1-0,1-0,AS Roma,2021-10-17T18:45Z
8,Mon Oct 18 2021,20:45,CEST/+0200,Venezia FC,1-0,1-0,ACF Fiorentina,2021-10-18T18:45Z
9,Fri Oct 22 2021,20:45,CEST/+0200,Sampdoria,2-1,2-0,Spezia Calcio,2021-10-22T18:45Z
9,Fri Oct 22 2021,18:30,CEST/+0200,Torino FC,3-2,2-0,Genoa CFC,2021-10-22T16:30Z
9,Sat Oct 23 2021,15:00,CEST/+0200,US Salernitana 1919,2-4,0-4,Empoli FC,2021-10-23T13:00Z
9,Sat Oct 23 2021,18:00,CEST/+0200,Sassuolo Calcio,3-1,1-1,Venezia FC,2021-10-23T16:00Z
9,Sat Oct 23 2021,20:45,CEST/+0200,Bologna FC,2-4,0-2,AC Milan,2021-10-23T18:45Z
9,Sun Oct 24 2021,15:00,CEST/+0200,ACF Fiorentina,3-0,2-0,Cagliari Calcio,2021-10-24T13:00Z
9,Sun Oct 24 2021,15:00,CEST/+0200,Hellas Verona,4-1,2-0,Lazio Roma,2021-10-24T13:00Z
9,Sun Oct 24 2021,18:00,CEST/+0200,AS Roma,0-0,0-0,SSC Napoli,2021-10-24T16:00Z
9,Sun Oct 24 2021,20:45,CEST/+0200,Inter,1-1,1-0,Juventus,2021-10-24T18:45Z
9,Sun Oct 24 2021,12:30,CEST/+0200,Atalanta,1-1,0-0,Udinese Calcio,2021-10-24T10:30Z
10,Tue Oct 26 2021,18:30,CEST/+0200,Spezia Calcio,1-1,0-0,Genoa CFC,2021-10-26T16:30Z
10,Tue Oct 26 2021,20:45,CEST/+0200,AC Milan,1-0,1-0,Torino FC,2021-10-26T18:45Z
10,Tue Oct 26 2021,18:30,CEST/+0200,Venezia FC,1-2,1-0,US Salernitana 1919,2021-10-26T16:30Z
10,Wed Oct 27 2021,18:30,CEST/+0200,Juventus,1-2,0-1,Sassuolo Calcio,2021-10-27T16:30Z
10,Wed Oct 27 2021,18:30,CEST/+0200,Sampdoria,1-3,1-2,Atalanta,2021-10-27T16:30Z
10,Wed Oct 27 2021,18:30,CEST/+0200,Udinese Calcio,1-1,1-0,Hellas Verona,2021-10-27T16:30Z
10,Wed Oct 27 2021,20:45,CEST/+0200,Cagliari Calcio,1-2,0-0,AS Roma,2021-10-27T18:45Z
10,Wed Oct 27 2021,20:45,CEST/+0200,Empoli FC,0-2,0-1,Inter,2021-10-27T18:45Z
10,Wed Oct 27 2021,20:45,CEST/+0200,Lazio Roma,1-0,0-0,ACF Fiorentina,2021-10-27T18:45Z
10,Thu Oct 28 2021,20:45,CEST/+0200,SSC Napoli,3-0,2-0,Bologna FC,2021-10-28T18:45Z
11,Sat Oct 30 2021,18:00,CEST/+0200,Hellas Verona,2-1,2-0,Juventus,2021-10-30T16:00Z
11,Sat Oct 30 2021,20:45,CEST/+0200,Torino FC,3-0,1-0,Sampdoria,2021-10-30T18:45Z
11,Sat Oct 30 2021,15:00,CEST/+0200,Atalanta,2-2,1-1,Lazio Roma,2021-10-30T13:00Z
11,Sun Oct 31 2021,12:30,CET/+0100,Inter,2-0,0-0,Udinese Calcio,2021-10-31T11:30Z
11,Sun Oct 31 2021,15:00,CET/+0100,ACF Fiorentina,3-0,1-0,Spezia Calcio,2021-10-31T14:00Z
11,Sun Oct 31 2021,15:00,CET/+0100,Genoa CFC,0-0,0-0,Venezia FC,2021-10-31T14:00Z
11,Sun Oct 31 2021,15:00,CET/+0100,Sassuolo Calcio,1-2,1-0,Empoli FC,2021-10-31T14:00Z
11,Sun Oct 31 2021,18:00,CET/+0100,US Salernitana 1919,0-1,0-0,SSC Napoli,2021-10-31T17:00Z
11,Sun Oct 31 2021,20:45,CET/+0100,AS Roma,1-2,0-1,AC Milan,2021-10-31T19:45Z
11,Mon Nov 1 2021,20:45,CET/+0100,Bologna FC,2-0,0-0,Cagliari Calcio,2021-11-01T19:45Z
12,Fri Nov 5 2021,20:45,CET/+0100,Empoli FC,2-2,0-1,Genoa CFC,2021-11-05T19:45Z
12,Sat Nov 6 2021,18:00,CET/+0100,Juventus,1-0,0-0,ACF Fiorentina,2021-11-06T17:00Z
12,Sat Nov 6 2021,20:45,CET/+0100,Cagliari Calcio,1-2,1-2,Atalanta,2021-11-06T19:45Z
12,Sat Nov 6 2021,15:00,CET/+0100,Spezia Calcio,1-0,0-0,Torino FC,2021-11-06T14:00Z
12,Sun Nov 7 2021,12:30,CET/+0100,Venezia FC,3-2,1-2,AS Roma,2021-11-07T11:30Z
12,Sun Nov 7 2021,15:00,CET/+0100,Sampdoria,1-2,0-0,Bologna FC,2021-11-07T14:00Z
12,Sun Nov 7 2021,15:00,CET/+0100,Udinese Calcio,3-2,2-2,Sassuolo Calcio,2021-11-07T14:00Z
12,Sun Nov 7 2021,18:00,CET/+0100,Lazio Roma,3-0,2-0,US Salernitana 1919,2021-11-07T17:00Z
12,Sun Nov 7 2021,18:00,CET/+0100,SSC Napoli,1-1,1-1,Hellas Verona,2021-11-07T17:00Z
12,Sun Nov 7 2021,20:45,CET/+0100,AC Milan,1-1,1-1,Inter,2021-11-07T19:45Z
13,Sat Nov 20 2021,15:00,CET/+0100,Atalanta,5-2,3-1,Spezia Calcio,2021-11-20T14:00Z
13,Sat Nov 20 2021,18:00,CET/+0100,Lazio Roma,0-2,0-1,Juventus,2021-11-20T17:00Z
13,Sat Nov 20 2021,20:45,CET/+0100,ACF Fiorentina,4-3,2-0,AC Milan,2021-11-20T19:45Z
13,Sun Nov 21 2021,15:00,CET/+0100,Bologna FC,0-1,0-0,Venezia FC,2021-11-21T14:00Z
13,Sun Nov 21 2021,15:00,CET/+0100,US Salernitana 1919,0-2,0-2,Sampdoria,2021-11-21T14:00Z
13,Sun Nov 21 2021,18:00,CET/+0100,Inter,3-2,2-1,SSC Napoli,2021-11-21T17:00Z
13,Sun Nov 21 2021,20:45,CET/+0100,Genoa CFC,0-2,0-0,AS Roma,2021-11-21T19:45Z
13,Sun Nov 21 2021,12:30,CET/+0100,Sassuolo Calcio,2-2,1-1,Cagliari Calcio,2021-11-21T11:30Z
13,Mon Nov 22 2021,20:45,CET/+0100,Torino FC,2-1,1-0,Udinese Calcio,2021-11-22T19:45Z
13,Mon Nov 22 2021,18:30,CET/+0100,Hellas Verona,2-1,0-0,Empoli FC,2021-11-22T17:30Z
14,Fri Nov 26 2021,20:45,CET/+0100,Cagliari Calcio,1-1,0-0,US Salernitana 1919,2021-11-26T19:45Z
14,Sat Nov 27 2021,15:00,CET/+0100,Empoli FC,2-1,0-0,ACF Fiorentina,2021-11-27T14:00Z
14,Sat Nov 27 2021,15:00,CET/+0100,Sampdoria,3-1,0-1,Hellas Verona,2021-11-27T14:00Z
14,Sat Nov 27 2021,18:00,CET/+0100,Juventus,0-1,0-1,Atalanta,2021-11-27T17:00Z
14,Sat Nov 27 2021,20:45,CET/+0100,Venezia FC,0-2,0-1,Inter,2021-11-27T19:45Z
14,Sun Nov 28 2021,12:30,CET/+0100,Udinese Calcio,0-0,0-0,Genoa CFC,2021-11-28T11:30Z
14,Sun Nov 28 2021,15:00,CET/+0100,AC Milan,1-3,1-2,Sassuolo Calcio,2021-11-28T14:00Z
14,Sun Nov 28 2021,15:00,CET/+0100,Spezia Calcio,0-1,0-0,Bologna FC,2021-11-28T14:00Z
14,Sun Nov 28 2021,18:00,CET/+0100,AS Roma,1-0,1-0,Torino FC,2021-11-28T17:00Z
14,Sun Nov 28 2021,20:45,CET/+0100,SSC Napoli,4-0,3-0,Lazio Roma,2021-11-28T19:45Z
15,Tue Nov 30 2021,18:30,CET/+0100,Atalanta,4-0,2-0,Venezia FC,2021-11-30T17:30Z
15,Tue Nov 30 2021,20:45,CET/+0100,Hellas Verona,0-0,0-0,Cagliari Calcio,2021-11-30T19:45Z
15,Tue Nov 30 2021,20:45,CET/+0100,US Salernitana 1919,0-2,0-1,Juventus,2021-11-30T19:45Z
15,Tue Nov 30 2021,18:30,CET/+0100,ACF Fiorentina,3-1,3-1,Sampdoria,2021-11-30T17:30Z
15,Wed Dec 1 2021,18:30,CET/+0100,Bologna FC,1-0,1-0,AS Roma,2021-12-01T17:30Z
15,Wed Dec 1 2021,18:30,CET/+0100,Inter,2-0,1-0,Spezia Calcio,2021-12-01T17:30Z
15,Wed Dec 1 2021,20:45,CET/+0100,Genoa CFC,0-3,0-2,AC Milan,2021-12-01T19:45Z
15,Wed Dec 1 2021,20:45,CET/+0100,Sassuolo Calcio,2-2,0-0,SSC Napoli,2021-12-01T19:45Z
15,Thu Dec 2 2021,20:45,CET/+0100,Lazio Roma,4-4,1-3,Udinese Calcio,2021-12-02T19:45Z
15,Thu Dec 2 2021,18:30,CET/+0100,Torino FC,2-2,2-1,Empoli FC,2021-12-02T17:30Z
16,Sat Dec 4 2021,18:00,CET/+0100,AS Roma,0-3,0-3,Inter,2021-12-04T17:00Z
16,Sat Dec 4 2021,20:45,CET/+0100,SSC Napoli,2-3,1-1,Atalanta,2021-12-04T19:45Z
16,Sat Dec 4 2021,15:00,CET/+0100,AC Milan,2-0,2-0,US Salernitana 1919,2021-12-04T14:00Z
16,Sun Dec 5 2021,12:30,CET/+0100,Bologna FC,2-3,1-1,ACF Fiorentina,2021-12-05T11:30Z
16,Sun Dec 5 2021,15:00,CET/+0100,Venezia FC,3-4,3-0,Hellas Verona,2021-12-05T14:00Z
16,Sun Dec 5 2021,15:00,CET/+0100,Spezia Calcio,2-2,1-0,Sassuolo Calcio,2021-12-05T14:00Z
16,Sun Dec 5 2021,18:00,CET/+0100,Sampdoria,1-3,0-3,Lazio Roma,2021-12-05T17:00Z
16,Sun Dec 5 2021,20:45,CET/+0100,Juventus,2-0,1-0,Genoa CFC,2021-12-05T19:45Z
16,Mon Dec 6 2021,20:45,CET/+0100,Cagliari Calcio,1-1,0-1,Torino FC,2021-12-06T19:45Z
16,Mon Dec 6 2021,18:30,CET/+0100,Empoli FC,3-1,0-1,Udinese Calcio,2021-12-06T17:30Z
17,Fri Dec 10 2021,20:45,CET/+0100,Genoa CFC,1-3,0-1,Sampdoria,2021-12-10T19:45Z
17,Sat Dec 11 2021,18:00,CET/+0100,Venezia FC,1-1,0-1,Juventus,2021-12-11T17:00Z
17,Sat Dec 11 2021,20:45,CET/+0100,Udinese Calcio,1-1,1-0,AC Milan,2021-12-11T19:45Z
17,Sat Dec 11 2021,15:00,CET/+0100,ACF Fiorentina,4-0,1-0,US Salernitana 1919,2021-12-11T14:00Z
17,Sun Dec 12 2021,12:30,CET/+0100,Torino FC,2-1,1-0,Bologna FC,2021-12-12T11:30Z
17,Sun Dec 12 2021,15:00,CET/+0100,Hellas Verona,1-2,1-1,Atalanta,2021-12-12T14:00Z
17,Sun Dec 12 2021,18:00,CET/+0100,Sassuolo Calcio,2-1,0-1,Lazio Roma,2021-12-12T17:00Z
17,Sun Dec 12 2021,18:00,CET/+0100,SSC Napoli,0-1,0-0,Empoli FC,2021-12-12T17:00Z
17,Sun Dec 12 2021,20:45,CET/+0100,Inter,4-0,1-0,Cagliari Calcio,2021-12-12T19:45Z
17,Mon Dec 13 2021,20:45,CET/+0100,AS Roma,2-0,1-0,Spezia Calcio,2021-12-13T19:45Z
18,Fri Dec 17 2021,20:45,CET/+0100,US Salernitana 1919,0-5,0-2,Inter,2021-12-17T19:45Z
18,Fri Dec 17 2021,18:30,CET/+0100,Lazio Roma,3-1,1-0,Genoa CFC,2021-12-17T17:30Z
18,Sat Dec 18 2021,18:00,CET/+0100,Bologna FC,0-2,0-1,Juventus,2021-12-18T17:00Z
18,Sat Dec 18 2021,20:45,CET/+0100,Cagliari Calcio,0-4,0-2,Udinese Calcio,2021-12-18T19:45Z
18,Sat Dec 18 2021,15:00,CET/+0100,Atalanta,1-4,1-2,AS Roma,2021-12-18T14:00Z
18,Sun Dec 19 2021,12:30,CET/+0100,ACF Fiorentina,2-2,0-2,Sassuolo Calcio,2021-12-19T11:30Z
18,Sun Dec 19 2021,15:00,CET/+0100,Spezia Calcio,1-1,0-0,Empoli FC,2021-12-19T14:00Z
18,Sun Dec 19 2021,18:00,CET/+0100,Torino FC,1-0,1-0,Hellas Verona,2021-12-19T17:00Z
18,Sun Dec 19 2021,18:00,CET/+0100,Sampdoria,1-1,1-0,Venezia FC,2021-12-19T17:00Z
18,Sun Dec 19 2021,20:45,CET/+0100,AC Milan,0-1,0-1,SSC Napoli,2021-12-19T19:45Z
19,Tue Dec 21 2021,20:45,CET/+0100,Juventus,2-0,1-0,Cagliari Calcio,2021-12-21T19:45Z
19,Tue Dec 21 2021,20:45,CET/+0100,Genoa CFC,0-0,0-0,Atalanta,2021-12-21T19:45Z
19,Wed Dec 22 2021,16:30,CET/+0100,Venezia FC,1-3,1-1,Lazio Roma,2021-12-22T15:30Z
19,Wed Dec 22 2021,16:30,CET/+0100,Sassuolo Calcio,0-3,0-2,Bologna FC,2021-12-22T15:30Z
19,Wed Dec 22 2021,18:30,CET/+0100,AS Roma,1-1,0-0,Sampdoria,2021-12-22T17:30Z
19,Wed Dec 22 2021,18:30,CET/+0100,Hellas Verona,1-1,1-0,ACF Fiorentina,2021-12-22T17:30Z
19,Wed Dec 22 2021,18:30,CET/+0100,Inter,1-0,1-0,Torino FC,2021-12-22T17:30Z
19,Wed Dec 22 2021,20:45,CET/+0100,Empoli FC,2-4,1-2,AC Milan,2021-12-22T19:45Z
19,Wed Dec 22 2021,20:45,CET/+0100,SSC Napoli,0-1,0-1,Spezia Calcio,2021-12-22T19:45Z
20,Thu Jan 6 2022,20:45,CET/+0100,Juventus,1-1,0-1,SSC Napoli,2022-01-06T19:45Z
20,Thu Jan 6 2022,12:30,CET/+0100,Sampdoria,1-2,1-0,Cagliari Calcio,2022-01-06T11:30Z
20,Thu Jan 6 2022,14:30,CET/+0100,Lazio Roma,3-3,1-2,Empoli FC,2022-01-06T13:30Z
20,Thu Jan 6 2022,14:30,CET/+0100,Spezia Calcio,1-2,0-0,Hellas Verona,2022-01-06T13:30Z
20,Thu Jan 6 2022,16:30,CET/+0100,Sassuolo Calcio,1-1,0-1,Genoa CFC,2022-01-06T15:30Z
20,Thu Jan 6 2022,18:30,CET/+0100,AC Milan,3-1,2-1,AS Roma,2022-01-06T17:30Z
21,Sun Jan 9 2022,16:30,CET/+0100,Udinese Calcio,2-6,0-3,Atalanta,2022-01-09T15:30Z
21,Sun Jan 9 2022,16:30,CET/+0100,SSC Napoli,1-0,1-0,Sampdoria,2022-01-09T15:30Z
21,Sun Jan 9 2022,20:45,CET/+0100,Inter,2-1,1-1,Lazio Roma,2022-01-09T19:45Z
21,Sun Jan 9 2022,20:45,CET/+0100,Hellas Verona,1-2,0-1,US Salernitana 1919,2022-01-09T19:45Z
21,Sun Jan 9 2022,18:30,CET/+0100,Genoa CFC,0-1,0-1,Spezia Calcio,2022-01-09T17:30Z
21,Sun Jan 9 2022,12:30,CET/+0100,Venezia FC,0-3,0-1,AC Milan,2022-01-09T11:30Z
21,Sun Jan 9 2022,14:30,CET/+0100,Empoli FC,1-5,1-2,Sassuolo Calcio,2022-01-09T13:30Z
21,Sun Jan 9 2022,18:30,CET/+0100,AS Roma,3-4,1-1,Juventus,2022-01-09T17:30Z
21,Mon Jan 10 2022,17:00,CET/+0100,Torino FC,4-0,3-0,ACF Fiorentina,2022-01-10T16:00Z
21,Tue Jan 11 2022,20:45,CET/+0100,Cagliari Calcio,2-1,0-0,Bologna FC,2022-01-11T19:45Z
22,Sat Jan 15 2022,18:00,CET/+0100,US Salernitana 1919,0-3,0-2,Lazio Roma,2022-01-15T17:00Z
22,Sat Jan 15 2022,15:00,CET/+0100,Sampdoria,1-2,1-1,Torino FC,2022-01-15T14:00Z
22,Sat Jan 15 2022,20:45,CET/+0100,Juventus,2-0,1-0,Udinese Calcio,2022-01-15T19:45Z
22,Sun Jan 16 2022,18:00,CET/+0100,AS Roma,1-0,1-0,Cagliari Calcio,2022-01-16T17:00Z
22,Sun Jan 16 2022,20:45,CET/+0100,Atalanta,0-0,0-0,Inter,2022-01-16T19:45Z
22,Sun Jan 16 2022,15:00,CET/+0100,Venezia FC,1-1,0-1,Empoli FC,2022-01-16T14:00Z
22,Sun Jan 16 2022,12:30,CET/+0100,Sassuolo Calcio,2-4,0-2,Hellas Verona,2022-01-16T11:30Z
22,Mon Jan 17 2022,18:30,CET/+0100,AC Milan,1-2,1-0,Spezia Calcio,2022-01-17T17:30Z
22,Mon Jan 17 2022,20:45,CET/+0100,ACF Fiorentina,6-0,3-0,Genoa CFC,2022-01-17T19:45Z
22,Mon Jan 17 2022,18:30,CET/+0100,Bologna FC,0-2,0-1,SSC Napoli,2022-01-17T17:30Z
23,Fri Jan 21 2022,20:45,CET/+0100,Hellas Verona,2-1,1-1,Bologna FC,2022-01-21T19:45Z
23,Sat Jan 22 2022,15:00,CET/+0100,Genoa CFC,0-0,0-0,Udinese Calcio,2022-01-22T14:00Z
23,Sat Jan 22 2022,18:00,CET/+0100,Inter,2-1,1-1,Venezia FC,2022-01-22T17:00Z
23,Sat Jan 22 2022,20:45,CET/+0100,Lazio Roma,0-0,0-0,Atalanta,2022-01-22T19:45Z
23,Sun Jan 23 2022,15:00,CET/+0100,Spezia Calcio,1-0,0-0,Sampdoria,2022-01-23T14:00Z
23,Sun Jan 23 2022,18:00,CET/+0100,Empoli FC,2-4,0-4,AS Roma,2022-01-23T17:00Z
23,Sun Jan 23 2022,15:00,CET/+0100,SSC Napoli,4-1,2-1,US Salernitana 1919,2022-01-23T14:00Z
23,Sun Jan 23 2022,15:00,CET/+0100,Torino FC,1-1,1-0,Sassuolo Calcio,2022-01-23T14:00Z
23,Sun Jan 23 2022,20:45,CET/+0100,AC Milan,0-0,0-0,Juventus,2022-01-23T19:45Z
23,Sun Jan 23 2022,12:30,CET/+0100,Cagliari Calcio,1-1,0-0,ACF Fiorentina,2022-01-23T11:30Z
